City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Carnarvon,AU,75.2,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
7,La Romana,DO,82.4,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
11,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,Pension Maro'i
13,Bambous Virieux,MU,80.6,scattered clouds,-20.3428,57.7575,Casa Tia Villa
15,Butaritari,KI,81.28,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
19,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,San Rafael,AR,76.82,clear sky,-34.6177,-68.3301,Hotel San Rafael
22,Puerto Ayora,EC,82.4,light rain,-0.7393,-90.3518,Castillo Galapagos
32,Alofi,NU,84.2,scattered clouds,-19.0595,-169.9187,Taloa Heights
34,Hilo,US,78.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
35,Touho,NC,78.31,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
39,Sao Raimundo Nonato,BR,84.09,overcast clouds,-9.0153,-42.6994,Real Hotel
45,Jonuta,MX,84.78,scattered clouds,18.0833,-92.1333,Hotel There
49,Kavieng,PG,83.37,broken clouds,-2.5744,150.7967,Nusa Island Retreat
50,Pisco,PE,77.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
52,Wukari,NG,82.35,overcast clouds,7.85,9.7833,Elimtop
56,Kuching,MY,75.2,scattered clouds,1.55,110.3333,Hilton Kuching
62,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
66,Hithadhoo,MV,81.88,broken clouds,-0.6,73.0833,Scoop Guest House
73,Talara,PE,78.69,clear sky,-4.5772,-81.2719,Hostal Oro Negro
76,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
77,Coahuayana,MX,78.8,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
86,Poso,ID,78.01,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
87,Belmonte,BR,84.2,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
93,Samarai,PG,82.11,overcast clouds,-10.6167,150.6667,Nuli Sapi
95,Bengkulu,ID,75.51,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
100,Waingapu,ID,77.92,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
106,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
107,Itamaraju,BR,76.62,moderate rain,-17.0392,-39.5311,Hotel Vista Bela
109,Inirida,CO,84.02,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
115,Bitung,ID,75.2,scattered clouds,1.4451,125.1824,K2 Lembeh
116,Pangai,TO,78.8,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
120,Ranau,MY,77.0,few clouds,5.9538,116.6641,Ranau Backpackers Hostel
121,Atuona,PF,79.47,few clouds,-9.8,-139.0333,Villa Enata
128,Ancud,CL,82.4,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
130,Sao Borja,BR,85.66,clear sky,-28.6606,-56.0044,Hotel Executivo
137,Buin,CL,78.8,clear sky,-33.7333,-70.75,Paihuen
138,Atakpame,TG,81.7,light rain,7.5333,1.1333,Hôtel Luxembourg Atakpame
140,Kavaratti,IN,80.67,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
148,Monte Alegre De Minas,BR,78.8,scattered clouds,-18.8706,-48.8808,Hotel Via Hotel
149,Faanui,PF,81.07,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
151,Guerrero Negro,MX,77.02,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
155,Isangel,VU,78.8,few clouds,-19.55,169.2667,Volcano Sea View Tree House
156,Saint-Joseph,RE,80.6,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
157,Soyo,AO,81.01,overcast clouds,-6.1349,12.3689,Hotel Mpampa
162,Kingston,JM,87.01,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
167,Mareeba,AU,80.01,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
172,Fare,PF,81.09,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
173,Totness,SR,79.52,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
176,Pointe-Noire,CG,82.4,scattered clouds,-4.7761,11.8635,Kactus Lodge
182,Mahebourg,MU,80.6,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
183,Corn Island,NI,80.28,few clouds,12.1694,-83.0418,Big Fish Guest House
188,Bandarbeyla,SO,75.45,scattered clouds,9.4942,50.8122,JABIR HOTEL
190,Marechal Candido Rondon,BR,77.97,clear sky,-24.5561,-54.0567,Hotel Bender
193,Acapulco,MX,86.0,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
195,Tomatlan,MX,83.61,clear sky,19.9333,-105.25,Norma franco
196,Bathsheba,BB,80.6,few clouds,13.2167,-59.5167,Atlantis Hotel
200,Bundaberg,AU,82.99,broken clouds,-24.85,152.35,Takalvan Motel
203,Paramonga,PE,75.92,overcast clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
217,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
219,Panaba,MX,85.75,scattered clouds,21.2833,-88.2667,Posada rosario
222,Barroquinha,BR,84.2,few clouds,-3.0189,-41.1361,Pousada Fontenele
226,Bubaque,GW,77.4,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
227,Nova Olimpia,BR,89.19,clear sky,-14.7972,-57.2881,Motel glamour
229,Pemba,MZ,80.6,light rain,-12.974,40.5178,Guesthouse Samotina
230,Sarangani,PH,81.39,overcast clouds,5.4033,125.4636,Ballistic Islet
232,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
236,Beira,MZ,84.2,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
238,Saint-Pierre,RE,80.6,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
239,San Vicente,AR,81.37,few clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
241,Karratha,AU,77.63,clear sky,-20.7377,116.8463,ibis Styles Karratha
242,Baracoa,CU,82.98,clear sky,20.3467,-74.4958,Hostal Rio Miel
243,Itarema,BR,81.59,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
247,Takoradi,GH,80.44,overcast clouds,4.8845,-1.7554,Raybow International Hotel
249,Peruibe,BR,76.57,clear sky,-24.32,-46.9983,Hotel Pousada Xapuri
