City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,77.0,96,93,4.0,overcast clouds
1,Hermanus,ZA,-34.4187,19.2345,57.99,88,4,1.59,clear sky
2,Yellowknife,CA,62.456,-114.3525,-31.0,61,40,8.05,scattered clouds
3,Kirakira,SB,-10.4544,161.9205,85.19,69,14,8.32,few clouds
4,Pulsano,IT,40.3821,17.3564,57.99,71,93,1.01,light rain
5,Mercedes,AR,-34.6515,-59.4307,78.01,65,1,1.01,clear sky
6,Chaupimarca,PE,-10.4333,-76.5333,42.51,93,99,1.59,overcast clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,75,17.27,snow
8,Uglegorsk,RU,49.0833,142.0333,9.07,91,100,17.16,light snow
9,Busselton,AU,-33.65,115.3333,64.0,99,86,1.99,overcast clouds
10,Kodiak,US,57.79,-152.4072,35.6,55,1,3.44,clear sky
11,Pangnirtung,CA,66.1451,-65.7125,26.98,77,0,11.52,clear sky
12,Golden,US,39.7555,-105.2211,51.8,11,40,34.52,scattered clouds
13,Chippewa Falls,US,44.9369,-91.3929,-5.8,49,75,6.91,light snow
14,Ushuaia,AR,-54.8,-68.3,55.4,71,20,8.05,few clouds
15,Cidreira,BR,-30.1811,-50.2056,70.65,71,0,8.25,clear sky
16,Qaanaaq,GL,77.484,-69.3632,14.83,85,76,6.4,broken clouds
17,Avarua,CK,-21.2078,-159.775,86.0,70,20,12.66,few clouds
18,Castro,BR,-24.7911,-50.0119,60.62,67,1,6.93,clear sky
19,Punta Arenas,CL,-53.15,-70.9167,69.8,28,0,6.91,clear sky
20,Huamachuco,PE,-7.8,-78.0667,54.19,83,99,4.59,moderate rain
21,Bengkulu,ID,-3.8004,102.2655,75.85,79,93,5.5,overcast clouds
22,Meulaboh,ID,4.1363,96.1285,76.32,85,63,3.87,broken clouds
23,Broome,US,42.2506,-75.833,18.0,79,40,9.22,scattered clouds
24,Ostrovnoy,RU,68.0531,39.5131,10.67,93,90,3.15,overcast clouds
25,Cayenne,GF,4.9333,-52.3333,80.6,83,75,11.5,broken clouds
26,Suhbaatar,MN,50.2314,106.2078,-4.25,88,42,2.19,scattered clouds
27,Lebu,CL,-37.6167,-73.65,59.25,92,35,1.3,scattered clouds
28,Port Lincoln,AU,-34.7333,135.8667,63.32,71,89,17.05,overcast clouds
29,Albany,US,42.6001,-73.9662,28.0,62,99,3.0,light snow
30,Damietta,EG,31.4165,31.8133,60.8,82,0,9.22,clear sky
31,Mataura,NZ,-46.1927,168.8643,72.28,42,99,3.13,overcast clouds
32,Sisimiut,GL,66.9395,-53.6735,23.86,80,23,13.73,few clouds
33,Tutoia,BR,-2.7619,-42.2744,80.42,83,10,9.22,clear sky
34,Hilo,US,19.7297,-155.09,82.4,47,20,14.97,few clouds
35,Mar Del Plata,AR,-38.0023,-57.5575,62.01,94,90,14.97,overcast clouds
36,Tiksi,RU,71.6872,128.8694,-29.4,86,49,5.19,scattered clouds
37,Saint-Philippe,RE,-21.3585,55.7679,80.6,61,90,8.05,light rain
38,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,75.9,95,92,2.01,overcast clouds
39,Pathein,MM,16.7833,94.7333,69.69,63,80,6.17,broken clouds
40,Thompson,CA,55.7435,-97.8558,-25.6,68,40,17.27,snow
41,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.22,87,92,7.47,light rain
42,Kamenka,RU,51.3223,42.7678,-8.07,91,12,9.01,few clouds
43,Kavieng,PG,-2.5744,150.7967,84.78,72,43,8.59,scattered clouds
44,Aswan,EG,24.0934,32.907,58.59,50,0,9.06,clear sky
45,Wanaka,NZ,-44.7,169.15,67.87,46,99,7.23,moderate rain
46,Kdyne,CZ,49.3908,13.0397,28.0,95,100,6.89,snow
47,Nikolskoye,RU,59.7035,30.7861,17.6,86,90,13.42,overcast clouds
48,Kuah,MY,6.3265,99.8432,80.6,74,20,4.61,few clouds
49,Port Hardy,CA,50.6996,-127.4199,39.2,70,75,10.36,broken clouds
50,Kalianget,ID,-7.05,113.9333,79.39,84,99,13.15,overcast clouds
51,Riviere-Au-Renard,CA,48.9957,-64.3971,21.2,86,90,2.3,overcast clouds
52,Half Moon Bay,US,37.4636,-122.4286,68.0,67,1,14.97,clear sky
53,Whitehorse,CA,60.7161,-135.0538,-0.99,78,90,4.61,light snow
54,Hami,CN,42.8,93.45,28.51,80,81,1.34,broken clouds
55,Saint George,US,37.1041,-113.5841,62.6,16,1,3.44,clear sky
56,Morehead,US,37.2711,-87.1764,26.01,46,1,4.61,clear sky
57,Hobart,AU,-42.8794,147.3294,62.6,51,75,12.66,broken clouds
58,Hithadhoo,MV,-0.6,73.0833,81.61,71,37,6.67,scattered clouds
59,Tuatapere,NZ,-46.1333,167.6833,67.93,56,100,6.67,heavy intensity rain
