City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2021-02-07 08:39:37,-33.6971,-53.4616,62.53,85,0,2.86
1,Ushuaia,AR,2021-02-07 08:34:41,-54.8,-68.3,44.6,76,40,9.22
2,Itarema,BR,2021-02-07 08:48:31,-2.9248,-39.9167,74.88,91,11,7.47
3,Rikitea,PF,2021-02-07 08:39:31,-23.1203,-134.9692,77.34,74,38,11.18
4,Hamilton,US,2021-02-07 08:39:02,39.1834,-84.5333,21.2,73,90,14.97
5,Bluff,NZ,2021-02-07 08:39:41,-46.6,168.3333,57.56,88,84,8.61
6,Russell,US,2021-02-07 08:39:38,32.3502,-85.1999,42.8,87,90,3.44
7,Puro,PH,2021-02-07 08:48:32,12.4841,123.3827,80.89,79,54,15.32
8,Kloulklubed,PW,2021-02-07 08:40:05,7.0419,134.2556,78.8,94,90,8.05
9,Meulaboh,ID,2021-02-07 08:39:43,4.1363,96.1285,85.64,65,80,7.83
10,Hobart,AU,2021-02-07 08:39:33,-42.8794,147.3294,60.8,51,20,16.11
11,Nelson Bay,AU,2021-02-07 08:48:32,-32.7167,152.15,73.99,83,0,10.36
12,Port Elizabeth,ZA,2021-02-07 08:39:31,-33.918,25.5701,77.0,65,75,19.57
13,Punta Arenas,CL,2021-02-07 08:39:37,-53.15,-70.9167,44.6,81,0,6.91
14,Busselton,AU,2021-02-07 08:39:39,-33.65,115.3333,63.0,92,100,3.0
15,Albany,US,2021-02-07 08:36:29,42.6001,-73.9662,19.0,58,100,0.72
16,Barrow,US,2021-02-07 08:39:42,71.2906,-156.7887,-7.6,77,90,13.8
17,East London,ZA,2021-02-07 08:39:12,-33.0153,27.9116,77.0,65,20,11.5
18,Luderitz,NA,2021-02-07 08:39:40,-26.6481,15.1594,81.03,34,0,26.46
19,Provideniya,RU,2021-02-07 08:39:57,64.3833,-173.3,-3.55,80,0,11.39
20,Port Blair,IN,2021-02-07 08:40:25,11.6667,92.75,81.68,69,27,11.81
21,Spassk-Ryazanskiy,RU,2021-02-07 08:48:33,54.4072,40.3806,-0.45,90,100,13.53
22,Iqaluit,CA,2021-02-07 08:40:37,63.7506,-68.5145,24.8,58,20,12.66
23,Ribeira Grande,PT,2021-02-07 08:40:09,38.5167,-28.7,60.8,88,75,17.27
24,Thompson,CA,2021-02-07 08:39:51,55.7435,-97.8558,-32.8,61,40,11.5
25,Hilo,US,2021-02-07 08:37:01,19.7297,-155.09,69.8,68,90,4.61
26,Kattivakkam,IN,2021-02-07 08:40:13,13.2167,80.3167,87.8,45,20,9.22
27,Talaya,RU,2021-02-07 08:48:34,61.3833,152.75,-11.58,87,100,7.9
28,Awjilah,LY,2021-02-07 08:39:45,29.1081,21.2869,71.1,26,57,13.78
29,Sorochinsk,RU,2021-02-07 08:48:34,52.4338,53.1583,2.73,90,100,15.08
30,Dikson,RU,2021-02-07 08:39:47,73.5069,80.5464,-27.11,87,91,9.66
31,Kalengwa,ZM,2021-02-07 08:48:34,-13.4659,25.0027,73.62,88,100,6.8
32,Sisimiut,GL,2021-02-07 08:35:29,66.9395,-53.6735,28.72,80,0,19.75
33,Kruisfontein,ZA,2021-02-07 08:39:57,-34.0033,24.7314,81.0,54,0,8.99
34,Khatanga,RU,2021-02-07 08:39:58,71.9667,102.5,-31.52,79,0,8.72
35,Flin Flon,CA,2021-02-07 08:48:35,54.7682,-101.865,-36.15,80,14,8.34
36,Tezu,IN,2021-02-07 08:48:35,27.9167,96.1667,79.75,18,0,3.87
37,Vila Franca Do Campo,PT,2021-02-07 08:40:13,37.7167,-25.4333,60.01,94,75,17.27
38,Esperance,AU,2021-02-07 08:48:35,-33.8667,121.9,66.2,72,90,17.27
39,Alofi,NU,2021-02-07 08:40:15,-19.0595,-169.9187,78.8,94,100,4.61
40,Salalah,OM,2021-02-07 08:39:48,17.0151,54.0924,77.0,57,75,10.36
41,Avarua,CK,2021-02-07 08:39:35,-21.2078,-159.775,77.0,88,8,3.44
42,Vestmannaeyjar,IS,2021-02-07 08:40:19,63.4427,-20.2734,36.93,79,78,20.94
43,Abashiri,JP,2021-02-07 08:48:35,44.0213,144.2697,14.0,85,75,6.91
44,Mataura,NZ,2021-02-07 08:39:32,-46.1927,168.8643,58.62,87,50,2.44
45,Bonito,BR,2021-02-07 08:48:36,-21.1211,-56.4819,61.48,79,0,3.13
46,Bambous Virieux,MU,2021-02-07 08:39:35,-20.3428,57.7575,87.8,66,40,16.11
47,Mar Del Plata,AR,2021-02-07 08:36:15,-38.0023,-57.5575,64.99,82,75,7.81
48,Fort Nelson,CA,2021-02-07 08:45:09,58.8053,-122.7002,-31.0,75,1,2.3
49,Matara,LK,2021-02-07 08:36:01,5.9485,80.5353,86.59,62,42,5.84
